HeadID,Name,Side,Message
9,洛心舒,L,小月！！（洛心舒见到小师妹之后情绪十分激动）太好了，太好了……你还活着……
0,0,R,夫人，小师妹真的是您的女儿？
9,洛心舒,L,（洛心舒将小师妹紧紧地搂入怀中）不会错的……你看，小月的身上有一块胎记……
9,洛心舒,L,（洛心舒将小师妹的袖子挽起，你清楚地看到了上面的胎记）
0,0,R,果然！！
18,小师妹,R,（小师妹怯生生地看了看洛心舒）……娘？
9,洛心舒,L,我的乖女儿………………
0,0,R,那日从冰床上将小师妹救下，没想过她竟然是铸剑山庄庄主的女儿…如今母女团聚，我也算做了一件好事。
9,洛心舒,L,（洛心舒抬起泪眼看了看你）你……你可是振远镖局的少当家？
0,0,R,！！！夫人怎知？
9,洛心舒,L,哎，说来是祸也是缘。
9,洛心舒,L,当日我夫君将武林卷轴委托给贵镖局，让贵镖局送往天竺寺藏经阁，不料却被沈天浩派人劫镖。
0,0,R,！！！劫镖之事的主谋，竟然是他！
9,洛心舒,L,在那之后夫君便被他囚禁起来，不知所踪。为了安全起见，我才将女儿放在寒玉床之上，希望有人能将她救下。
9,洛心舒,L,而我自己则躲入剑冢之中，希望能够牵制他一些时日……
0,0,R,如此说来，沈天浩害我家破人亡，此仇不共戴天！定要向他讨一个说法！
